Word,Frames path
A LOT,ISL_CSLRT_Corpus\Frames_Word_Level\A LOT\A LOT (1).jpg
A LOT,ISL_CSLRT_Corpus\Frames_Word_Level\A LOT\A LOT (2).jpg
A LOT,ISL_CSLRT_Corpus\Frames_Word_Level\A LOT\A LOT (3).jpg
A LOT,ISL_CSLRT_Corpus\Frames_Word_Level\A LOT\A LOT (4).jpg
ABUSE,ISL_CSLRT_Corpus\Frames_Word_Level\ABUSE\ABUSE (1).jpg
ABUSE,ISL_CSLRT_Corpus\Frames_Word_Level\ABUSE\ABUSE (2).jpg
ABUSE,ISL_CSLRT_Corpus\Frames_Word_Level\ABUSE\ABUSE (3).jpg
ABUSE,ISL_CSLRT_Corpus\Frames_Word_Level\ABUSE\ABUSE (4).jpg
ABUSE,ISL_CSLRT_Corpus\Frames_Word_Level\ABUSE\ABUSE (5).jpg
AFRAID,ISL_CSLRT_Corpus\Frames_Word_Level\AFRAID\AFRAID (1).jpg
AFRAID,ISL_CSLRT_Corpus\Frames_Word_Level\AFRAID\AFRAID (2).jpg
AFRAID,ISL_CSLRT_Corpus\Frames_Word_Level\AFRAID\AFRAID (3).jpg
AFRAID,ISL_CSLRT_Corpus\Frames_Word_Level\AFRAID\AFRAID (4).jpg
AFRAID,ISL_CSLRT_Corpus\Frames_Word_Level\AFRAID\AFRAID (5).jpg
AFRAID,ISL_CSLRT_Corpus\Frames_Word_Level\AFRAID\AFRAID (6).jpg
AGREE,ISL_CSLRT_Corpus\Frames_Word_Level\AGREE\AGREE (1).jpg
AGREE,ISL_CSLRT_Corpus\Frames_Word_Level\AGREE\AGREE (2).jpg
AGREE,ISL_CSLRT_Corpus\Frames_Word_Level\AGREE\AGREE (3).jpg
AGREE,ISL_CSLRT_Corpus\Frames_Word_Level\AGREE\AGREE (4).jpg
AGREE,ISL_CSLRT_Corpus\Frames_Word_Level\AGREE\AGREE (5).jpg
AGREE,ISL_CSLRT_Corpus\Frames_Word_Level\AGREE\AGREE (6).jpg
AGREE,ISL_CSLRT_Corpus\Frames_Word_Level\AGREE\AGREE (7).jpg
ALL,ISL_CSLRT_Corpus\Frames_Word_Level\ALL\ALL (1).jpg
ALL,ISL_CSLRT_Corpus\Frames_Word_Level\ALL\ALL (2).jpg
ALL,ISL_CSLRT_Corpus\Frames_Word_Level\ALL\ALL (3).jpg
ALL,ISL_CSLRT_Corpus\Frames_Word_Level\ALL\ALL (4).jpg
ANGRY,ISL_CSLRT_Corpus\Frames_Word_Level\ANGRY\ANGRY (1).jpg
ANGRY,ISL_CSLRT_Corpus\Frames_Word_Level\ANGRY\ANGRY (10).jpg
ANGRY,ISL_CSLRT_Corpus\Frames_Word_Level\ANGRY\ANGRY (2).jpg
ANGRY,ISL_CSLRT_Corpus\Frames_Word_Level\ANGRY\ANGRY (3).jpg
ANGRY,ISL_CSLRT_Corpus\Frames_Word_Level\ANGRY\ANGRY (4).jpg
ANGRY,ISL_CSLRT_Corpus\Frames_Word_Level\ANGRY\ANGRY (5).jpg
ANGRY,ISL_CSLRT_Corpus\Frames_Word_Level\ANGRY\ANGRY (6).jpg
ANGRY,ISL_CSLRT_Corpus\Frames_Word_Level\ANGRY\ANGRY (7).jpg
ANGRY,ISL_CSLRT_Corpus\Frames_Word_Level\ANGRY\ANGRY (8).jpg
ANGRY,ISL_CSLRT_Corpus\Frames_Word_Level\ANGRY\ANGRY (9).jpg
ANYTHING,ISL_CSLRT_Corpus\Frames_Word_Level\ANYTHING\ANYTHING (1).jpg
ANYTHING,ISL_CSLRT_Corpus\Frames_Word_Level\ANYTHING\ANYTHING (2).jpg
ANYTHING,ISL_CSLRT_Corpus\Frames_Word_Level\ANYTHING\ANYTHING (3).jpg
ANYTHING,ISL_CSLRT_Corpus\Frames_Word_Level\ANYTHING\ANYTHING (4).jpg
APPRECIATE,ISL_CSLRT_Corpus\Frames_Word_Level\APPRECIATE\APPRECIATE (1).jpg
APPRECIATE,ISL_CSLRT_Corpus\Frames_Word_Level\APPRECIATE\APPRECIATE (2).jpg
APPRECIATE,ISL_CSLRT_Corpus\Frames_Word_Level\APPRECIATE\APPRECIATE (3).jpg
APPRECIATE,ISL_CSLRT_Corpus\Frames_Word_Level\APPRECIATE\APPRECIATE (4).jpg
APPRECIATE,ISL_CSLRT_Corpus\Frames_Word_Level\APPRECIATE\APPRECIATE (5).jpg
BAD,ISL_CSLRT_Corpus\Frames_Word_Level\BAD\BAD (1).jpg
BAD,ISL_CSLRT_Corpus\Frames_Word_Level\BAD\BAD (2).jpg
BAD,ISL_CSLRT_Corpus\Frames_Word_Level\BAD\BAD (3).jpg
BAD,ISL_CSLRT_Corpus\Frames_Word_Level\BAD\BAD (4).jpg
BAD,ISL_CSLRT_Corpus\Frames_Word_Level\BAD\BAD (5).jpg
BEAUTIFUL,ISL_CSLRT_Corpus\Frames_Word_Level\BEAUTIFUL\BEAUTIFUL (1).jpg
BEAUTIFUL,ISL_CSLRT_Corpus\Frames_Word_Level\BEAUTIFUL\BEAUTIFUL (2).jpg
BEAUTIFUL,ISL_CSLRT_Corpus\Frames_Word_Level\BEAUTIFUL\BEAUTIFUL (3).jpg
BEAUTIFUL,ISL_CSLRT_Corpus\Frames_Word_Level\BEAUTIFUL\BEAUTIFUL (4).jpg
BEAUTIFUL,ISL_CSLRT_Corpus\Frames_Word_Level\BEAUTIFUL\BEAUTIFUL (5).jpg
BECOME,ISL_CSLRT_Corpus\Frames_Word_Level\BECOME\BECOME (1).jpg
BECOME,ISL_CSLRT_Corpus\Frames_Word_Level\BECOME\BECOME (2).jpg
BECOME,ISL_CSLRT_Corpus\Frames_Word_Level\BECOME\BECOME (3).jpg
BECOME,ISL_CSLRT_Corpus\Frames_Word_Level\BECOME\BECOME (4).jpg
BECOME,ISL_CSLRT_Corpus\Frames_Word_Level\BECOME\BECOME (5).jpg
BED,ISL_CSLRT_Corpus\Frames_Word_Level\BED\BED (1).jpg
BED,ISL_CSLRT_Corpus\Frames_Word_Level\BED\BED (2).jpg
BED,ISL_CSLRT_Corpus\Frames_Word_Level\BED\BED (3).jpg
BED,ISL_CSLRT_Corpus\Frames_Word_Level\BED\BED (4).jpg
BED,ISL_CSLRT_Corpus\Frames_Word_Level\BED\BED (5).jpg
BED,ISL_CSLRT_Corpus\Frames_Word_Level\BED\BED (6).jpg
